case_id,timestamp,analyst_id,severity,alert_type,asset_ip,escalated,time_to_close_mins,resolution_notes
CASE-00484,2026-07-31T00:00:00,SOC-A04,Medium,Malware Detection,10.0.1.10-WEBSERVER,No,29,Correlated with threat intel feed. IOC confirmed. Endpoint isolated and reimaged.
CASE-00082,2026-08-25T05:46:00,SOC-A03,Medium,DDoS Indicator,10.0.5.20-VPN-ENDPOINT,No,88,Cross-referenced with SIEM correlation rule. Confirmed policy violation. HR notified.
CASE-00695,2026-07-19T05:49:00,SOC-A03,High,Policy Violation,10.0.4.10-AUTH-SERVER,No,109,Traced lateral movement path. Three additional hosts identified. Full sweep initiated.
CASE-00743,2026-09-17T16:25:00,SOC-A03,High,DDoS Indicator,10.0.6.10-WORKSTATION-POOL,Yes,45,Investigated source IP. Confirmed malicious. Blocked at firewall and notified asset owner.
CASE-00053,2026-07-14T19:27:00,SOC-A03,Low,Anomalous Login,10.0.6.10-WORKSTATION-POOL,No,65,Correlated with threat intel feed. IOC confirmed. Endpoint isolated and reimaged.
CASE-00842,2026-07-18T21:00:00,SOC-A05,Medium,Lateral Movement,10.0.1.10-WEBSERVER,No,7,No action required.
CASE-00120,2026-07-13T14:06:00,SOC-A01,Medium,Data Exfiltration,10.0.4.10-AUTH-SERVER,No,102,Analyzed authentication logs. Confirmed brute force from known botnet. IP range blocked.
CASE-00113,2026-07-12T07:53:00,SOC-A01,Critical,Policy Violation,10.0.4.10-AUTH-SERVER,Yes,195,Traced lateral movement path. Three additional hosts identified. Full sweep initiated.
CASE-00001,2026-09-20T03:01:00,SOC-A02,High,Malware Detection,10.0.1.20-APPSERVER,No,65,Correlated with threat intel feed. IOC confirmed. Endpoint isolated and reimaged.
CASE-00106,2026-08-05T05:37:00,SOC-A04,Medium,Policy Violation,10.0.6.10-WORKSTATION-POOL,No,21,Verified phishing payload in sandbox. User credentials rotated. Awareness alert sent.
CASE-00213,2026-08-27T01:46:00,SOC-A04,High,Brute Force Attempt,10.0.3.20-PAYMENT-PROC,No,100,Correlated with threat intel feed. IOC confirmed. Endpoint isolated and reimaged.
CASE-00426,2026-08-14T17:24:00,SOC-A02,Low,Policy Violation,10.0.4.10-AUTH-SERVER,No,30,Correlated with threat intel feed. IOC confirmed. Endpoint isolated and reimaged.
CASE-00892,2026-09-04T08:00:00,SOC-A01,High,Brute Force Attempt,10.0.4.10-AUTH-SERVER,No,39,Blocked source IP. Alert closed.
CASE-00195,2026-07-29T14:56:00,SOC-A04,Low,Unauthorized Access,10.0.1.10-WEBSERVER,No,16,Verified phishing payload in sandbox. User credentials rotated. Awareness alert sent.
CASE-00156,2026-09-14T17:35:00,SOC-A04,Low,Unauthorized Access,10.0.1.10-WEBSERVER,No,55,Investigated source IP. Confirmed malicious. Blocked at firewall and notified asset owner.
CASE-00234,2026-08-21T04:48:00,SOC-A01,Low,Privilege Escalation,10.0.5.10-EMAIL-GW,No,50,Cross-referenced with SIEM correlation rule. Confirmed policy violation. HR notified.
CASE-00147,2026-07-31T18:20:00,SOC-A01,Low,Unauthorized Access,10.0.3.20-PAYMENT-PROC,No,26,Correlated with threat intel feed. IOC confirmed. Endpoint isolated and reimaged.
CASE-00672,2026-08-12T15:25:00,SOC-A03,High,Phishing Email,10.0.1.10-WEBSERVER,Yes,205,Traced lateral movement path. Three additional hosts identified. Full sweep initiated.
CASE-00291,2026-07-10T06:51:00,SOC-A02,High,Phishing Email,10.0.5.20-VPN-ENDPOINT,Yes,152,Traced lateral movement path. Three additional hosts identified. Full sweep initiated.
CASE-00139,2026-07-15T04:02:00,SOC-A04,Critical,Privilege Escalation,10.0.3.20-PAYMENT-PROC,Yes,59,Reviewed packet capture. Confirmed false positive due to scheduled backup job.
CASE-00435,2026-08-17T12:23:00,SOC-A03,Low,Policy Violation,10.0.1.10-WEBSERVER,No,66,Traced lateral movement path. Three additional hosts identified. Full sweep initiated.
CASE-00141,2026-09-22T03:53:00,SOC-A03,Medium,Phishing Email,10.0.4.10-AUTH-SERVER,No,14,Escalated to incident response team. Containment actions initiated.
CASE-00809,2026-09-20T19:00:00,SOC-A05,High,Anomalous Login,10.0.5.20-VPN-ENDPOINT,No,2,"False positive, closed."
CASE-00133,2026-08-26T01:37:00,SOC-A01,Low,Phishing Email,10.0.1.20-APPSERVER,No,47,Analyzed authentication logs. Confirmed brute force from known botnet. IP range blocked.
CASE-00748,2026-07-19T23:56:00,SOC-A02,Medium,Data Exfiltration,10.0.4.10-AUTH-SERVER,No,20,Analyzed authentication logs. Confirmed brute force from known botnet. IP range blocked.
CASE-00724,2026-09-24T03:17:00,SOC-A01,Low,Anomalous Login,10.0.3.20-PAYMENT-PROC,No,11,Correlated with threat intel feed. IOC confirmed. Endpoint isolated and reimaged.
CASE-00841,2026-09-11T23:00:00,SOC-A05,High,Phishing Email,10.0.1.20-APPSERVER,No,8,"False positive, closed."
CASE-00070,2026-07-01T11:19:00,SOC-A04,High,DDoS Indicator,10.0.6.10-WORKSTATION-POOL,No,167,Escalated to incident response team. Containment actions initiated.
CASE-00099,2026-07-21T00:26:00,SOC-A04,Medium,Brute Force Attempt,10.0.5.10-EMAIL-GW,No,47,Escalated to incident response team. Containment actions initiated.
CASE-00286,2026-09-19T21:27:00,SOC-A03,Medium,Unauthorized Access,10.0.1.10-WEBSERVER,No,92,Verified phishing payload in sandbox. User credentials rotated. Awareness alert sent.
CASE-00413,2026-08-15T05:11:00,SOC-A03,Low,Brute Force Attempt,10.0.3.20-PAYMENT-PROC,No,85,Verified phishing payload in sandbox. User credentials rotated. Awareness alert sent.
CASE-00520,2026-07-01T10:29:00,SOC-A01,High,Anomalous Login,10.0.1.20-APPSERVER,Yes,69,Investigated source IP. Confirmed malicious. Blocked at firewall and notified asset owner.
CASE-00893,2026-08-28T03:00:00,SOC-A01,High,Brute Force Attempt,10.0.4.10-AUTH-SERVER,No,23,Blocked source IP. Alert closed.
CASE-00277,2026-08-30T01:18:00,SOC-A02,Medium,Unauthorized Access,10.0.6.10-WORKSTATION-POOL,No,108,Verified phishing payload in sandbox. User credentials rotated. Awareness alert sent.
CASE-00730,2026-07-12T22:29:00,SOC-A04,Low,Privilege Escalation,10.0.3.20-PAYMENT-PROC,No,70,Escalated to incident response team. Containment actions initiated.
CASE-00091,2026-08-05T23:37:00,SOC-A03,Critical,Lateral Movement,10.0.5.10-EMAIL-GW,Yes,55,Escalated to incident response team. Containment actions initiated.
CASE-00771,2026-07-16T02:54:00,SOC-A02,Medium,Data Exfiltration,10.0.4.10-AUTH-SERVER,No,24,Traced lateral movement path. Three additional hosts identified. Full sweep initiated.
CASE-00129,2026-07-26T12:54:00,SOC-A04,Medium,Phishing Email,10.0.1.20-APPSERVER,No,83,Traced lateral movement path. Three additional hosts identified. Full sweep initiated.
