timestamp,id,level,description,groups,mitre_id,mitre_tactic,agent_id,agent_name,agent_ip,srcip,srcuser,location,full_log
2020-01-01 01:14:07,100201,4,Suspicious process executed from /tmp (possible C2 beacon),syslog;cron;malware,T1071,CommandAndControl,369,SPG-EMS-369,10.30.0.102,203.224.244.176,divyansh.baral,/var/log/syslog,2020-01-01T01:14:07.626825+00:00 SPG-EMS-369 CRON[24849]: (divyansh.baral) CMD (/tmp/.wt43pd/kworkerd --pool 175.85.1.9:4444)
2020-01-01 04:19:53,5710,4,sshd: brute force trying to get access to the system,syslog;sshd;attack,T1190,InitialAccess,008,SPG-DNS-008,10.10.0.9,157.106.20.60,vardaniya.sarna,/var/log/auth.log,2020-01-01T04:19:53.846640+00:00 SPG-DNS-008 sshd[47295]: Failed password for invalid user root from 157.106.20.60 port 30519 ssh2
2020-01-01 06:37:49,100201,9,Suspicious process executed from /tmp (possible C2 beacon),syslog;cron;malware,T1071,CommandAndControl,387,SPG-PLC-387,10.30.0.120,141.128.225.165,diya.kala,/var/log/syslog,2020-01-01T06:37:49.525427+00:00 SPG-PLC-387 CRON[17274]: (root) CMD (/tmp/.j7pne8/kworkerd --pool 64.64.1.9:4444)
2020-01-01 08:37:40,100301,7,Kernel reports possible SYN flood,syslog;kernel;attack,T1498,Impact,215,SPG-HMI-215,10.20.0.82,46.182.142.60,faiyaz.arya,/var/log/syslog,2020-01-01T08:37:40.284121+00:00 SPG-HMI-215 kernel: TCP: request_sock_TCP: Possible SYN flooding on port 990. Sending cookies. Check SNMP counters. [src=46.182.142.60]
2020-01-01 08:58:10,100301,13,Kernel reports possible SYN flood,syslog;kernel;attack,T1498,Impact,340,SPG-SUB-340,10.30.0.73,92.78.39.166,jayant.butala,/var/log/syslog,2020-01-01T08:58:10.246665+00:00 SPG-SUB-340 kernel: TCP: request_sock_TCP: Possible SYN flooding on port 443. Sending cookies. Check SNMP counters. [src=92.78.39.166]
2020-01-01 10:54:16,5710,8,sshd: brute force trying to get access to the system,syslog;sshd;attack,T1190,InitialAccess,217,SPG-ENG-217,10.20.0.84,189.122.92.192,samiha.dora,/var/log/auth.log,2020-01-01T10:54:16.458918+00:00 SPG-ENG-217 sshd[48057]: Failed password for invalid user ubuntu from 189.122.92.192 port 53343 ssh2
2020-01-01 13:01:19,5763,12,sshd: brute force trying to get access to the system,syslog;sshd;attack,T1190,InitialAccess,026,SPG-PRX-026,10.10.0.27,212.44.143.201,adira.bhardwaj,/var/log/auth.log,2020-01-01T13:01:19.362359+00:00 SPG-PRX-026 sshd[4281]: Failed password for invalid user adira.bhardwaj from 212.44.143.201 port 33152 ssh2
2020-01-01 13:40:25,5763,13,sshd: brute force trying to get access to the system,syslog;sshd;attack,T1190,InitialAccess,119,SPG-FTP-119,10.10.0.120,147.185.56.132,oorja.sahota,/var/log/auth.log,2020-01-01T13:40:25.326416+00:00 SPG-FTP-119 sshd[54520]: Failed password for invalid user admin from 147.185.56.132 port 20513 ssh2
2020-01-01 16:38:59,5710,8,sshd: brute force trying to get access to the system,syslog;sshd;attack,T1190,InitialAccess,383,SPG-PLC-383,10.30.0.116,4.214.78.160,tanya.sem,/var/log/auth.log,2020-01-01T16:38:59.820943+00:00 SPG-PLC-383 sshd[57376]: Failed password for invalid user oracle from 4.214.78.160 port 37772 ssh2
2020-01-01 17:57:15,100201,6,Suspicious process executed from /tmp (possible C2 beacon),syslog;cron;malware,T1071,CommandAndControl,338,SPG-RTU-338,10.30.0.71,189.185.123.148,baiju.baria,/var/log/syslog,2020-01-01T17:57:15.089819+00:00 SPG-RTU-338 CRON[56163]: (root) CMD (/tmp/.jl0rsh/kworkerd --pool 27.42.1.9:4444)
2020-01-01 23:08:08,100301,13,Kernel reports possible SYN flood,syslog;kernel;attack,T1498,Impact,268,SPG-HIS-268,10.20.0.135,85.149.183.151,onkar.shukla,/var/log/syslog,2020-01-01T23:08:08.040272+00:00 SPG-HIS-268 kernel: TCP: request_sock_TCP: Possible SYN flooding on port 53. Sending cookies. Check SNMP counters. [src=85.149.183.151]
