incidentNumber,title,severity,status,classification,createdTimeUtc,lastActivityTimeUtc,alertCount,affectedEntity,sourceIps,owner,rule
1001,NET-01: High severity Intrusion traffic permitted through perimeter,High,Closed,Undetermined,2023-02-01T03:59:46Z,2023-02-01T20:06:05Z,4,SPG-ENG-233,111.176.138.157;15.206.191.211;54.163.130.178;9.137.163.86,,NET-01
1002,NET-01: High severity Intrusion traffic permitted through perimeter,High,Active,TruePositive,2020-07-16T10:36:23Z,2020-07-16T16:26:13Z,3,SPG-RTU-370,114.34.66.25;45.4.170.146;202.71.162.43,soc.l3@sahyadripower.example,NET-01
1003,NET-01: High severity DDoS traffic permitted through perimeter,High,Closed,TruePositive,2020-11-09T06:58:48Z,2020-11-09T19:37:32Z,2,SPG-RTU-274,194.253.116.238;85.150.22.214,,NET-01
1004,NET-01: High severity DDoS traffic permitted through perimeter,High,New,Undetermined,2023-09-18T01:37:44Z,2023-09-18T07:15:04Z,2,SPG-HIS-200,33.250.255.157;212.252.146.106,soc.l2@sahyadripower.example,NET-01
1005,NET-01: High severity Intrusion traffic permitted through perimeter,High,Active,TruePositive,2023-04-26T02:28:12Z,2023-04-26T12:14:09Z,2,SPG-DNS-008,145.81.9.74;71.207.135.252,soc.l3@sahyadripower.example,NET-01
1006,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,TruePositive,2020-02-19T17:33:23Z,2020-02-19T18:56:41Z,2,SPG-HIS-200,78.108.97.108;112.161.118.197,soc.l2@sahyadripower.example,NET-01
1007,NET-01: High severity Intrusion traffic permitted through perimeter,High,New,TruePositive,2021-10-05T01:48:44Z,2021-10-05T15:45:25Z,2,SPG-RTU-370,102.236.145.45;174.238.41.32,soc.l3@sahyadripower.example,NET-01
1008,NET-01: High severity Intrusion traffic permitted through perimeter,High,Closed,Undetermined,2020-04-25T03:03:01Z,2020-04-25T23:43:15Z,2,SPG-PRX-130,146.73.12.113;101.152.46.197,soc.l2@sahyadripower.example,NET-01
1009,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,TruePositive,2020-07-24T08:06:52Z,2020-07-24T19:21:59Z,2,SPG-AD-190,79.126.96.19;6.72.187.89,soc.l3@sahyadripower.example,NET-01
1010,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,TruePositive,2021-01-08T13:13:34Z,2021-01-08T19:18:33Z,2,SPG-FTP-123,202.180.25.127;96.89.175.81,soc.l3@sahyadripower.example,NET-01
1011,NET-01: High severity Intrusion traffic permitted through perimeter,High,Active,Undetermined,2020-01-25T10:45:03Z,2020-01-25T15:41:06Z,2,SPG-RTU-322,84.1.239.221;46.135.213.66,,NET-01
1012,NET-01: High severity Intrusion traffic permitted through perimeter,High,Closed,Undetermined,2022-01-02T01:25:07Z,2022-01-02T02:55:05Z,2,SPG-ENG-241,114.212.155.237;70.103.63.138,,NET-01
1013,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,Undetermined,2022-01-02T03:05:54Z,2022-01-02T15:41:37Z,2,SPG-ENG-169,47.198.30.150;99.129.109.228,soc.l2@sahyadripower.example,NET-01
1014,NET-01: High severity DDoS traffic permitted through perimeter,High,New,TruePositive,2023-03-21T05:44:32Z,2023-03-21T13:59:19Z,2,SPG-HMI-259,139.32.127.161;72.213.121.36,soc.l3@sahyadripower.example,NET-01
1015,NET-01: High severity Intrusion traffic permitted through perimeter,High,Active,TruePositive,2023-02-18T01:26:59Z,2023-02-18T19:28:08Z,2,SPG-PLC-283,15.79.140.149;80.178.52.102,,NET-01
1016,NET-01: High severity DDoS traffic permitted through perimeter,High,New,TruePositive,2020-07-25T09:01:53Z,2020-07-25T23:48:24Z,2,SPG-EMS-353,151.159.204.33;172.175.236.238,soc.l3@sahyadripower.example,NET-01
1017,NET-01: High severity Intrusion traffic permitted through perimeter,High,Active,TruePositive,2020-03-25T06:24:08Z,2020-03-25T13:23:34Z,2,SPG-PRX-050,88.178.109.100;10.128.16.211,soc.l3@sahyadripower.example,NET-01
1018,NET-01: High severity DDoS traffic permitted through perimeter,High,New,TruePositive,2022-09-16T18:30:37Z,2022-09-16T22:08:13Z,2,SPG-HMI-263,75.240.230.138;187.203.135.244,soc.l3@sahyadripower.example,NET-01
1019,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,TruePositive,2020-08-27T10:23:36Z,2020-08-27T15:15:28Z,2,SPG-FTP-007,16.146.25.51;202.122.21.236,soc.l2@sahyadripower.example,NET-01
1020,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,TruePositive,2020-10-07T00:38:17Z,2020-10-07T09:55:58Z,2,SPG-HIS-212,78.126.24.51;11.191.174.38,,NET-01
1021,NET-01: High severity DDoS traffic permitted through perimeter,High,New,TruePositive,2022-11-18T11:26:12Z,2022-11-18T21:46:02Z,2,SPG-SUB-280,122.36.41.126;5.136.155.118,soc.l2@sahyadripower.example,NET-01
1022,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,TruePositive,2022-02-06T06:54:55Z,2022-02-06T11:36:38Z,2,SPG-PLC-347,43.41.146.225;107.14.36.59,soc.l2@sahyadripower.example,NET-01
1023,NET-01: High severity Intrusion traffic permitted through perimeter,High,Closed,TruePositive,2021-10-26T02:36:21Z,2021-10-26T18:53:07Z,2,SPG-PLC-359,159.83.251.42;116.87.112.78,soc.l2@sahyadripower.example,NET-01
1024,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,TruePositive,2021-09-18T00:06:35Z,2021-09-18T10:14:51Z,2,SPG-ENG-193,177.116.24.111;117.182.185.51,,NET-01
1025,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,TruePositive,2022-04-26T03:02:29Z,2022-04-26T13:34:53Z,2,SPG-WEB-069,49.166.78.61;201.134.39.16,,NET-01
1026,NET-01: High severity Intrusion traffic permitted through perimeter,High,Active,TruePositive,2021-07-29T05:29:00Z,2021-07-29T18:12:00Z,2,SPG-RTU-314,189.98.238.162;78.221.114.92,soc.l3@sahyadripower.example,NET-01
1027,NET-01: High severity Intrusion traffic permitted through perimeter,High,Active,TruePositive,2023-02-04T07:05:42Z,2023-02-04T21:25:19Z,2,SPG-SUB-280,100.176.123.164;181.163.153.131,soc.l3@sahyadripower.example,NET-01
1028,NET-01: High severity DDoS traffic permitted through perimeter,High,Closed,Undetermined,2023-07-09T10:19:09Z,2023-07-09T11:22:32Z,2,SPG-EMS-325,169.108.177.233;46.91.192.80,,NET-01
1029,NET-01: High severity Intrusion traffic permitted through perimeter,High,New,TruePositive,2022-11-12T11:12:38Z,2022-11-12T18:06:27Z,2,SPG-PRX-082,124.157.39.151;48.34.61.28,soc.l3@sahyadripower.example,NET-01
1030,NET-01: High severity Malware traffic permitted through perimeter,High,Active,Undetermined,2022-11-12T09:31:30Z,2022-11-12T10:22:45Z,2,SPG-WEB-097,218.125.109.38;208.131.171.21,,NET-01
1031,NET-01: High severity DDoS traffic permitted through perimeter,High,New,Undetermined,2023-08-05T02:43:45Z,2023-08-05T04:34:58Z,2,SPG-HMI-255,134.149.26.96;185.210.185.148,soc.l2@sahyadripower.example,NET-01
1032,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,Undetermined,2022-04-07T01:05:22Z,2022-04-07T04:18:02Z,2,SPG-DNS-112,89.18.135.26;135.220.45.41,soc.l3@sahyadripower.example,NET-01
1033,NET-01: High severity DDoS traffic permitted through perimeter,High,New,Undetermined,2022-12-10T04:54:57Z,2022-12-10T05:54:51Z,2,SPG-EMS-397,213.221.218.224;9.81.141.9,soc.l3@sahyadripower.example,NET-01
1034,NET-01: High severity Intrusion traffic permitted through perimeter,High,Active,TruePositive,2020-11-08T00:09:49Z,2020-11-08T19:34:56Z,2,SPG-PLC-283,1.175.39.216;168.244.168.132,soc.l2@sahyadripower.example,NET-01
1035,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,Undetermined,2022-12-09T08:10:33Z,2022-12-09T19:20:42Z,2,SPG-SUB-392,82.214.211.61;10.116.88.240,soc.l3@sahyadripower.example,NET-01
1036,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,TruePositive,2020-04-21T13:20:15Z,2020-04-21T23:20:09Z,2,SPG-WEB-065,217.189.250.231;75.95.33.17,soc.l2@sahyadripower.example,NET-01
1037,NET-01: High severity Intrusion traffic permitted through perimeter,High,New,Undetermined,2021-04-22T13:14:09Z,2021-04-22T20:44:19Z,2,SPG-HMI-255,182.53.147.19;211.180.9.136,soc.l3@sahyadripower.example,NET-01
1038,NET-01: High severity Intrusion traffic permitted through perimeter,High,Closed,TruePositive,2021-03-27T03:30:18Z,2021-03-27T05:20:31Z,2,SPG-PLC-359,1.240.186.250;72.209.246.133,soc.l2@sahyadripower.example,NET-01
1039,NET-01: High severity DDoS traffic permitted through perimeter,High,Closed,Undetermined,2022-01-21T03:56:01Z,2022-01-21T10:53:00Z,2,SPG-PRX-010,195.186.244.148;196.45.98.90,soc.l3@sahyadripower.example,NET-01
1040,NET-01: High severity DDoS traffic permitted through perimeter,High,Closed,TruePositive,2021-06-12T20:55:32Z,2021-06-12T21:37:53Z,2,SPG-HMI-223,39.125.123.219;150.128.67.240,soc.l2@sahyadripower.example,NET-01
1041,NET-01: High severity DDoS traffic permitted through perimeter,High,New,TruePositive,2021-09-20T18:55:37Z,2021-09-20T23:51:06Z,2,SPG-EMS-305,173.81.164.254;200.102.225.174,soc.l2@sahyadripower.example,NET-01
1042,NET-01: High severity DDoS traffic permitted through perimeter,High,Closed,Undetermined,2023-02-03T23:18:31Z,2023-02-03T23:29:38Z,2,SPG-HMI-207,151.200.15.30;56.170.219.213,soc.l2@sahyadripower.example,NET-01
1043,NET-01: High severity DDoS traffic permitted through perimeter,High,New,TruePositive,2020-09-10T03:49:55Z,2020-09-10T23:09:28Z,2,SPG-DNS-032,101.97.146.83;7.66.21.93,,NET-01
1044,NET-01: High severity Intrusion traffic permitted through perimeter,High,Active,TruePositive,2023-05-30T12:17:25Z,2023-05-30T20:57:57Z,2,SPG-AD-258,34.161.213.192;111.246.174.211,,NET-01
1045,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,TruePositive,2023-06-16T11:17:16Z,2023-06-16T19:01:29Z,2,SPG-DNS-044,92.218.179.249;129.62.173.89,soc.l3@sahyadripower.example,NET-01
1046,NET-01: High severity DDoS traffic permitted through perimeter,High,New,TruePositive,2023-08-22T01:17:33Z,2023-08-22T13:03:57Z,2,SPG-FTP-103,185.202.242.68;68.208.132.255,soc.l2@sahyadripower.example,NET-01
1047,NET-01: High severity Intrusion traffic permitted through perimeter,High,Active,TruePositive,2021-09-01T05:49:41Z,2021-09-01T09:03:43Z,2,SPG-FTP-055,64.35.236.238;178.52.242.139,soc.l2@sahyadripower.example,NET-01
1048,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,Undetermined,2023-09-19T14:45:13Z,2023-09-19T16:24:44Z,2,SPG-PLC-331,52.68.5.204;4.33.20.13,soc.l3@sahyadripower.example,NET-01
1049,NET-01: High severity DDoS traffic permitted through perimeter,High,New,Undetermined,2021-09-01T02:30:04Z,2021-09-01T16:43:56Z,2,SPG-PRX-130,69.214.37.123;213.216.62.108,soc.l2@sahyadripower.example,NET-01
1050,NET-01: High severity DDoS traffic permitted through perimeter,High,New,Undetermined,2021-10-31T05:45:36Z,2021-10-31T13:28:45Z,2,SPG-HMI-247,185.255.104.68;23.88.189.160,,NET-01
1051,NET-01: High severity Intrusion traffic permitted through perimeter,High,Active,TruePositive,2020-06-20T08:05:35Z,2020-06-20T08:47:09Z,2,SPG-ENG-165,194.36.147.101;144.35.106.243,,NET-01
1052,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,Undetermined,2021-12-24T16:50:33Z,2021-12-24T16:59:11Z,2,SPG-ENG-241,137.24.200.190;116.37.163.8,soc.l3@sahyadripower.example,NET-01
1053,NET-01: High severity DDoS traffic permitted through perimeter,High,Closed,TruePositive,2021-10-19T17:10:18Z,2021-10-19T23:49:24Z,2,SPG-HIS-192,19.250.61.39;222.179.247.33,soc.l2@sahyadripower.example,NET-01
1054,NET-01: High severity Intrusion traffic permitted through perimeter,High,Active,TruePositive,2021-07-21T00:20:56Z,2021-07-21T23:29:39Z,2,SPG-WEB-093,146.246.113.174;74.184.160.14,soc.l3@sahyadripower.example,NET-01
1055,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,TruePositive,2020-06-08T01:29:02Z,2020-06-08T10:12:25Z,2,SPG-EMS-305,30.33.21.110;143.59.144.31,soc.l3@sahyadripower.example,NET-01
1056,NET-01: High severity Intrusion traffic permitted through perimeter,High,Closed,TruePositive,2020-09-01T04:45:17Z,2020-09-01T17:52:50Z,2,SPG-HMI-183,215.29.56.85;149.167.62.128,soc.l3@sahyadripower.example,NET-01
1057,NET-01: High severity DDoS traffic permitted through perimeter,High,New,TruePositive,2022-04-19T01:25:09Z,2022-04-19T02:58:43Z,2,SPG-HIS-184,219.199.209.139;156.89.134.62,soc.l2@sahyadripower.example,NET-01
1058,NET-01: High severity Intrusion traffic permitted through perimeter,High,Active,Undetermined,2020-03-18T05:09:14Z,2020-03-18T14:54:06Z,2,SPG-HMI-183,92.47.63.214;5.89.17.148,soc.l3@sahyadripower.example,NET-01
1059,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,TruePositive,2020-06-08T09:52:15Z,2020-06-08T12:17:44Z,2,SPG-AD-162,23.118.132.102;31.205.165.135,,NET-01
1060,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,TruePositive,2023-05-08T09:47:30Z,2023-05-08T20:40:51Z,2,SPG-PLC-315,175.121.224.0;93.73.67.94,soc.l3@sahyadripower.example,NET-01
1061,NET-01: High severity DDoS traffic permitted through perimeter,High,Closed,TruePositive,2022-12-28T03:15:23Z,2022-12-28T21:23:52Z,2,SPG-DNS-044,62.243.66.33;82.151.165.213,soc.l3@sahyadripower.example,NET-01
1062,NET-01: High severity Intrusion traffic permitted through perimeter,High,Closed,TruePositive,2021-02-21T06:47:09Z,2021-02-21T16:03:52Z,2,SPG-ENG-145,172.86.131.242;78.195.58.145,,NET-01
1063,NET-01: High severity DDoS traffic permitted through perimeter,High,New,Undetermined,2020-02-07T10:29:36Z,2020-02-07T15:03:41Z,2,SPG-PLC-335,39.170.97.130;207.213.5.47,soc.l2@sahyadripower.example,NET-01
1064,NET-01: High severity DDoS traffic permitted through perimeter,High,New,TruePositive,2021-04-05T02:14:29Z,2021-04-05T15:46:57Z,2,SPG-ENG-165,12.232.37.149;26.31.77.183,soc.l3@sahyadripower.example,NET-01
1065,NET-01: High severity Malware traffic permitted through perimeter,High,Closed,TruePositive,2023-01-05T16:03:34Z,2023-01-05T20:33:36Z,2,SPG-RTU-370,213.130.203.46;152.76.253.97,soc.l3@sahyadripower.example,NET-01
1066,NET-01: High severity DDoS traffic permitted through perimeter,High,Closed,Undetermined,2021-12-22T00:59:34Z,2021-12-22T19:02:20Z,2,SPG-ENG-169,212.116.84.139;92.145.49.38,,NET-01
1067,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,TruePositive,2023-05-09T17:03:21Z,2023-05-09T21:55:59Z,2,SPG-EMS-397,39.151.13.73;191.187.121.80,soc.l2@sahyadripower.example,NET-01
1068,NET-01: High severity Intrusion traffic permitted through perimeter,High,Active,Undetermined,2022-01-29T13:11:44Z,2022-01-29T14:31:29Z,2,SPG-FTP-103,58.251.252.81;151.211.108.29,soc.l2@sahyadripower.example,NET-01
1069,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,TruePositive,2023-05-09T12:05:12Z,2023-05-09T13:49:22Z,2,SPG-ENG-237,99.113.153.77;138.28.61.199,soc.l2@sahyadripower.example,NET-01
1070,NET-01: High severity DDoS traffic permitted through perimeter,High,New,Undetermined,2022-01-29T14:02:59Z,2022-01-29T19:07:03Z,2,SPG-FTP-059,118.167.12.184;83.236.158.178,,NET-01
1071,NET-01: High severity Malware traffic permitted through perimeter,High,Closed,TruePositive,2023-07-23T00:35:53Z,2023-07-23T17:47:06Z,2,SPG-SUB-308,7.194.203.144;39.107.213.4,soc.l2@sahyadripower.example,NET-01
1072,NET-01: High severity Malware traffic permitted through perimeter,High,New,TruePositive,2022-08-25T00:52:22Z,2022-08-25T04:15:09Z,2,SPG-PLC-299,181.206.144.56;53.200.223.146,soc.l3@sahyadripower.example,NET-01
1073,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,TruePositive,2022-08-24T02:53:43Z,2022-08-24T16:54:11Z,2,SPG-FTP-059,83.128.148.193;194.14.228.64,,NET-01
1074,NET-01: High severity DDoS traffic permitted through perimeter,High,Closed,Undetermined,2021-10-12T22:12:16Z,2021-10-12T23:53:05Z,2,SPG-HIS-208,38.66.145.115;152.239.27.93,soc.l2@sahyadripower.example,NET-01
1075,NET-01: High severity Intrusion traffic permitted through perimeter,High,Active,TruePositive,2020-08-03T07:47:40Z,2020-08-03T11:12:34Z,2,SPG-SUB-272,37.128.189.218;9.113.16.138,,NET-01
1076,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,TruePositive,2021-10-14T16:17:34Z,2021-10-14T22:58:29Z,2,SPG-FTP-103,215.62.67.163;3.114.106.160,,NET-01
1077,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,TruePositive,2022-08-25T17:23:42Z,2022-08-25T18:24:21Z,2,SPG-EMS-349,6.100.135.142;14.54.198.125,soc.l2@sahyadripower.example,NET-01
1078,NET-01: High severity DDoS traffic permitted through perimeter,High,Closed,TruePositive,2022-04-18T00:39:14Z,2022-04-18T17:34:50Z,2,SPG-HMI-199,120.162.145.41;65.138.57.27,soc.l2@sahyadripower.example,NET-01
