timestamp,id,level,description,groups,mitre_id,mitre_tactic,agent_id,agent_name,agent_ip,srcip,srcuser,location,full_log
2020-01-01 01:14:07,100201,3,Suspicious process executed from /tmp (possible C2 beacon),syslog;cron;malware,T1071,CommandAndControl,388,GCH-IOT-388,10.30.0.121,203.224.244.176,divyansh.baral,/var/log/syslog,2020-01-01T01:14:07.701985+00:00 GCH-IOT-388 CRON[31628]: (divyansh.baral) CMD (/tmp/.l7uc0j/kworkerd --pool 155.6.1.9:4444)
2020-01-01 04:19:53,5710,5,sshd: brute force trying to get access to the system,syslog;sshd;attack,T1190,InitialAccess,092,GCH-PTL-092,10.10.0.93,157.106.20.60,vardaniya.sarna,/var/log/auth.log,2020-01-01T04:19:53.924573+00:00 GCH-PTL-092 sshd[23972]: Failed password for invalid user oracle from 157.106.20.60 port 30519 ssh2
2020-01-01 06:37:49,100201,8,Suspicious process executed from /tmp (possible C2 beacon),syslog;cron;malware,T1071,CommandAndControl,369,GCH-EMR-369,10.30.0.102,141.128.225.165,diya.kala,/var/log/syslog,2020-01-01T06:37:49.953831+00:00 GCH-EMR-369 CRON[54455]: (diya.kala) CMD (/tmp/.zz2jn6/kworkerd --pool 188.61.1.9:4444)
2020-01-01 08:37:40,100301,9,Kernel reports possible SYN flood,syslog;kernel;attack,T1498,Impact,219,GCH-HIS-219,10.20.0.86,46.182.142.60,faiyaz.arya,/var/log/syslog,2020-01-01T08:37:40.283885+00:00 GCH-HIS-219 kernel: TCP: request_sock_TCP: Possible SYN flooding on port 2121. Sending cookies. Check SNMP counters. [src=46.182.142.60]
2020-01-01 08:58:10,100301,12,Kernel reports possible SYN flood,syslog;kernel;attack,T1498,Impact,356,GCH-IOT-356,10.30.0.89,92.78.39.166,jayant.butala,/var/log/syslog,2020-01-01T08:58:10.188779+00:00 GCH-IOT-356 kernel: TCP: request_sock_TCP: Possible SYN flooding on port 8080. Sending cookies. Check SNMP counters. [src=92.78.39.166]
2020-01-01 10:54:16,5710,10,sshd: brute force trying to get access to the system,syslog;sshd;attack,T1190,InitialAccess,193,GCH-PACS-193,10.20.0.60,189.122.92.192,samiha.dora,/var/log/auth.log,2020-01-01T10:54:16.118599+00:00 GCH-PACS-193 sshd[14483]: Failed password for invalid user test from 189.122.92.192 port 53343 ssh2
2020-01-01 13:01:19,5763,12,sshd: brute force trying to get access to the system,syslog;sshd;attack,T1190,InitialAccess,080,GCH-PTL-080,10.10.0.81,212.44.143.201,adira.bhardwaj,/var/log/auth.log,2020-01-01T13:01:19.746132+00:00 GCH-PTL-080 sshd[18898]: Failed password for invalid user oracle from 212.44.143.201 port 33152 ssh2
2020-01-01 13:40:25,5763,12,sshd: brute force trying to get access to the system,syslog;sshd;attack,T1190,InitialAccess,070,GCH-PRX-070,10.10.0.71,147.185.56.132,oorja.sahota,/var/log/auth.log,2020-01-01T13:40:25.375636+00:00 GCH-PRX-070 sshd[59438]: Failed password for invalid user postgres from 147.185.56.132 port 20513 ssh2
2020-01-01 16:38:59,5710,9,sshd: brute force trying to get access to the system,syslog;sshd;attack,T1190,InitialAccess,273,GCH-EMR-273,10.30.0.6,4.214.78.160,tanya.sem,/var/log/auth.log,2020-01-01T16:38:59.753864+00:00 GCH-EMR-273 sshd[35946]: Failed password for invalid user root from 4.214.78.160 port 37772 ssh2
2020-01-01 17:57:15,100201,6,Suspicious process executed from /tmp (possible C2 beacon),syslog;cron;malware,T1071,CommandAndControl,350,GCH-DB-350,10.30.0.83,189.185.123.148,baiju.baria,/var/log/syslog,2020-01-01T17:57:15.514284+00:00 GCH-DB-350 CRON[31373]: (baiju.baria) CMD (/tmp/.too4tk/kworkerd --pool 202.153.1.9:4444)
