timestamp,id,level,description,groups,mitre_id,mitre_tactic,agent_id,agent_name,agent_ip,srcip,srcuser,location,full_log
2020-01-01 01:14:07,100201,5,Suspicious process executed from /tmp (possible C2 beacon),syslog;cron;malware,T1071,CommandAndControl,327,NTN-MSC-327,10.30.0.60,203.224.244.176,divyansh.baral,/var/log/syslog,2020-01-01T01:14:07.208677+00:00 NTN-MSC-327 CRON[12739]: (www-data) CMD (/tmp/.4rt15a/kworkerd --pool 23.45.1.9:4444)
2020-01-01 04:19:53,5710,6,sshd: brute force trying to get access to the system,syslog;sshd;attack,T1190,InitialAccess,117,NTN-WEB-117,10.10.0.118,157.106.20.60,vardaniya.sarna,/var/log/auth.log,2020-01-01T04:19:53.777467+00:00 NTN-WEB-117 sshd[37897]: Failed password for invalid user root from 157.106.20.60 port 30519 ssh2
2020-01-01 06:37:49,100201,9,Suspicious process executed from /tmp (possible C2 beacon),syslog;cron;malware,T1071,CommandAndControl,382,NTN-CORE-382,10.30.0.115,141.128.225.165,diya.kala,/var/log/syslog,2020-01-01T06:37:49.870221+00:00 NTN-CORE-382 CRON[40905]: (diya.kala) CMD (/tmp/.6s8nqw/kworkerd --pool 173.32.1.9:4444)
2020-01-01 08:37:40,100301,7,Kernel reports possible SYN flood,syslog;kernel;attack,T1498,Impact,173,NTN-AAA-173,10.20.0.40,46.182.142.60,faiyaz.arya,/var/log/syslog,2020-01-01T08:37:40.649296+00:00 NTN-AAA-173 kernel: TCP: request_sock_TCP: Possible SYN flooding on port 2121. Sending cookies. Check SNMP counters. [src=46.182.142.60]
2020-01-01 08:58:10,100301,13,Kernel reports possible SYN flood,syslog;kernel;attack,T1498,Impact,319,NTN-MSC-319,10.30.0.52,92.78.39.166,jayant.butala,/var/log/syslog,2020-01-01T08:58:10.266693+00:00 NTN-MSC-319 kernel: TCP: request_sock_TCP: Possible SYN flooding on port 8080. Sending cookies. Check SNMP counters. [src=92.78.39.166]
2020-01-01 10:54:16,5710,7,sshd: brute force trying to get access to the system,syslog;sshd;attack,T1190,InitialAccess,235,NTN-CRM-235,10.20.0.102,189.122.92.192,samiha.dora,/var/log/auth.log,2020-01-01T10:54:16.703365+00:00 NTN-CRM-235 sshd[59748]: Failed password for invalid user samiha.dora from 189.122.92.192 port 53343 ssh2
2020-01-01 13:01:19,5763,13,sshd: brute force trying to get access to the system,syslog;sshd;attack,T1190,InitialAccess,025,NTN-WEB-025,10.10.0.26,212.44.143.201,adira.bhardwaj,/var/log/auth.log,2020-01-01T13:01:19.617020+00:00 NTN-WEB-025 sshd[29647]: Failed password for invalid user ubuntu from 212.44.143.201 port 33152 ssh2
2020-01-01 13:40:25,5763,14,sshd: brute force trying to get access to the system,syslog;sshd;attack,T1190,InitialAccess,103,NTN-DNS-103,10.10.0.104,147.185.56.132,oorja.sahota,/var/log/auth.log,2020-01-01T13:40:25.176759+00:00 NTN-DNS-103 sshd[36509]: Failed password for invalid user admin from 147.185.56.132 port 20513 ssh2
2020-01-01 16:38:59,5710,10,sshd: brute force trying to get access to the system,syslog;sshd;attack,T1190,InitialAccess,362,NTN-CORE-362,10.30.0.95,4.214.78.160,tanya.sem,/var/log/auth.log,2020-01-01T16:38:59.863927+00:00 NTN-CORE-362 sshd[48824]: Failed password for invalid user admin from 4.214.78.160 port 37772 ssh2
2020-01-01 17:57:15,100201,3,Suspicious process executed from /tmp (possible C2 beacon),syslog;cron;malware,T1071,CommandAndControl,379,NTN-MSC-379,10.30.0.112,189.185.123.148,baiju.baria,/var/log/syslog,2020-01-01T17:57:15.694417+00:00 NTN-MSC-379 CRON[9150]: (www-data) CMD (/tmp/.5b9zl6/kworkerd --pool 136.65.1.9:4444)
2020-01-01 23:08:08,100301,14,Kernel reports possible SYN flood,syslog;kernel;attack,T1498,Impact,200,NTN-BSS-200,10.20.0.67,85.149.183.151,onkar.shukla,/var/log/syslog,2020-01-01T23:08:08.360049+00:00 NTN-BSS-200 kernel: TCP: request_sock_TCP: Possible SYN flooding on port 53. Sending cookies. Check SNMP counters. [src=85.149.183.151]
2020-01-02 01:09:15,5710,5,sshd: brute force trying to get access to the system,syslog;sshd;attack,T1190,InitialAccess,386,NTN-CORE-386,10.30.0.119,44.123.77.221,navya.wagle,/var/log/auth.log,2020-01-02T01:09:15.781574+00:00 NTN-CORE-386 sshd[55384]: Failed password for invalid user oracle from 44.123.77.221 port 49457 ssh2
2020-01-02 06:29:27,5710,10,sshd: brute force trying to get access to the system,syslog;sshd;attack,T1190,InitialAccess,170,NTN-API-170,10.20.0.37,20.171.129.52,seher.wagle,/var/log/auth.log,2020-01-02T06:29:27.484166+00:00 NTN-API-170 sshd[1173]: Failed password for invalid user seher.wagle from 20.171.129.52 port 39580 ssh2
2020-01-02 08:30:12,100201,13,Suspicious process executed from /tmp (possible C2 beacon),syslog;cron;malware,T1071,CommandAndControl,295,NTN-MSC-295,10.30.0.28,21.153.222.60,biju.buch,/var/log/syslog,2020-01-02T08:30:12.665242+00:00 NTN-MSC-295 CRON[9041]: (www-data) CMD (/tmp/.v4mk4d/kworkerd --pool 119.82.1.9:4444)
2020-01-02 12:45:47,5710,4,sshd: brute force trying to get access to the system,syslog;sshd;attack,T1190,InitialAccess,383,NTN-MSC-383,10.30.0.116,118.168.161.187,samarth.sharma,/var/log/auth.log,2020-01-02T12:45:47.918536+00:00 NTN-MSC-383 sshd[42432]: Failed password for invalid user test from 118.168.161.187 port 38250 ssh2
2020-01-02 13:06:49,100201,3,Suspicious process executed from /tmp (possible C2 beacon),syslog;cron;malware,T1071,CommandAndControl,313,NTN-HLR-313,10.30.0.46,192.140.39.46,zoya.deep,/var/log/syslog,2020-01-02T13:06:49.046362+00:00 NTN-HLR-313 CRON[30927]: (www-data) CMD (/tmp/.3xwo2g/kworkerd --pool 118.70.1.9:4444)
2020-01-02 15:00:15,100301,13,Kernel reports possible SYN flood,syslog;kernel;attack,T1498,Impact,097,NTN-WEB-097,10.10.0.98,78.168.250.18,dishani.warrior,/var/log/syslog,2020-01-02T15:00:15.848739+00:00 NTN-WEB-097 kernel: TCP: request_sock_TCP: Possible SYN flooding on port 80. Sending cookies. Check SNMP counters. [src=78.168.250.18]
2020-01-02 21:56:12,100201,10,Suspicious process executed from /tmp (possible C2 beacon),syslog;cron;malware,T1071,CommandAndControl,289,NTN-HLR-289,10.30.0.22,11.116.234.13,suhana.bhargava,/var/log/syslog,2020-01-02T21:56:12.547740+00:00 NTN-HLR-289 CRON[8354]: (www-data) CMD (/tmp/.ril1s3/kworkerd --pool 121.193.1.9:4444)
2020-01-02 23:59:19,100201,5,Suspicious process executed from /tmp (possible C2 beacon),syslog;cron;malware,T1071,CommandAndControl,103,NTN-DNS-103,10.10.0.104,214.194.89.72,purab.sharma,/var/log/syslog,2020-01-02T23:59:19.779000+00:00 NTN-DNS-103 CRON[33175]: (purab.sharma) CMD (/tmp/.sd2emv/kworkerd --pool 148.253.1.9:4444)
2020-01-03 00:54:00,100201,14,Suspicious process executed from /tmp (possible C2 beacon),syslog;cron;malware,T1071,CommandAndControl,099,NTN-DNS-099,10.10.0.100,69.75.57.137,oorja.kaur,/var/log/syslog,2020-01-03T00:54:00.398608+00:00 NTN-DNS-099 CRON[28970]: (root) CMD (/tmp/.ro9xkh/kworkerd --pool 210.128.1.9:4444)
2020-01-03 06:27:55,100201,6,Suspicious process executed from /tmp (possible C2 beacon),syslog;cron;malware,T1071,CommandAndControl,130,NTN-PRX-130,10.10.0.131,75.9.121.45,farhan.sibal,/var/log/syslog,2020-01-03T06:27:55.960735+00:00 NTN-PRX-130 CRON[34009]: (www-data) CMD (/tmp/.0jd61d/kworkerd --pool 6.72.1.9:4444)
2020-01-03 08:44:28,100201,15,Suspicious process executed from /tmp (possible C2 beacon),syslog;cron;malware,T1071,CommandAndControl,011,NTN-DNS-011,10.10.0.12,46.51.148.150,yakshit.karpe,/var/log/syslog,2020-01-03T08:44:28.176115+00:00 NTN-DNS-011 CRON[13694]: (yakshit.karpe) CMD (/tmp/.dklzab/kworkerd --pool 117.219.1.9:4444)
2020-01-03 11:37:01,100201,10,Suspicious process executed from /tmp (possible C2 beacon),syslog;cron;malware,T1071,CommandAndControl,104,NTN-SMS-104,10.10.0.105,157.73.79.253,shlok.ramakrishnan,/var/log/syslog,2020-01-03T11:37:01.920575+00:00 NTN-SMS-104 CRON[51139]: (www-data) CMD (/tmp/.1l6a6k/kworkerd --pool 87.173.1.9:4444)
2020-01-03 13:20:11,5763,14,sshd: brute force trying to get access to the system,syslog;sshd;attack,T1190,InitialAccess,266,NTN-API-266,10.20.0.133,142.190.182.51,shlok.krishnan,/var/log/auth.log,2020-01-03T13:20:11.481265+00:00 NTN-API-266 sshd[25840]: Failed password for invalid user ubuntu from 142.190.182.51 port 50241 ssh2
2020-01-03 16:21:05,100301,13,Kernel reports possible SYN flood,syslog;kernel;attack,T1498,Impact,063,NTN-DNS-063,10.10.0.64,162.193.92.149,hazel.sidhu,/var/log/syslog,2020-01-03T16:21:05.137220+00:00 NTN-DNS-063 kernel: TCP: request_sock_TCP: Possible SYN flooding on port 80. Sending cookies. Check SNMP counters. [src=162.193.92.149]
2020-01-03 21:24:58,100201,13,Suspicious process executed from /tmp (possible C2 beacon),syslog;cron;malware,T1071,CommandAndControl,179,NTN-CRM-179,10.20.0.46,146.16.164.245,navya.cheema,/var/log/syslog,2020-01-03T21:24:58.190845+00:00 NTN-CRM-179 CRON[55982]: (navya.cheema) CMD (/tmp/.rxlm99/kworkerd --pool 136.216.1.9:4444)
2020-01-03 23:30:58,100301,7,Kernel reports possible SYN flood,syslog;kernel;attack,T1498,Impact,009,NTN-WEB-009,10.10.0.10,191.214.71.100,ayesha.kant,/var/log/syslog,2020-01-03T23:30:58.662487+00:00 NTN-WEB-009 kernel: TCP: request_sock_TCP: Possible SYN flooding on port 53. Sending cookies. Check SNMP counters. [src=191.214.71.100]
2020-01-04 00:27:07,100201,7,Suspicious process executed from /tmp (possible C2 beacon),syslog;cron;malware,T1071,CommandAndControl,200,NTN-BSS-200,10.20.0.67,19.123.228.86,siya.sandhu,/var/log/syslog,2020-01-04T00:27:07.884065+00:00 NTN-BSS-200 CRON[34663]: (siya.sandhu) CMD (/tmp/.zre5fs/kworkerd --pool 140.187.1.9:4444)
2020-01-04 04:45:56,100301,3,Kernel reports possible SYN flood,syslog;kernel;attack,T1498,Impact,157,NTN-AAA-157,10.20.0.24,72.95.166.114,sara.jain,/var/log/syslog,2020-01-04T04:45:56.615686+00:00 NTN-AAA-157 kernel: TCP: request_sock_TCP: Possible SYN flooding on port 53. Sending cookies. Check SNMP counters. [src=72.95.166.114]
2020-01-04 10:39:32,5763,13,sshd: brute force trying to get access to the system,syslog;sshd;attack,T1190,InitialAccess,011,NTN-DNS-011,10.10.0.12,216.175.209.129,shalv.sarraf,/var/log/auth.log,2020-01-04T10:39:32.559264+00:00 NTN-DNS-011 sshd[40600]: Failed password for invalid user ubuntu from 216.175.209.129 port 2698 ssh2
2020-01-04 18:31:29,100201,3,Suspicious process executed from /tmp (possible C2 beacon),syslog;cron;malware,T1071,CommandAndControl,183,NTN-CRM-183,10.20.0.50,44.41.160.239,badal.sani,/var/log/syslog,2020-01-04T18:31:29.902012+00:00 NTN-CRM-183 CRON[29876]: (www-data) CMD (/tmp/.592zge/kworkerd --pool 217.32.1.9:4444)
2020-01-04 21:31:49,5710,6,sshd: brute force trying to get access to the system,syslog;sshd;attack,T1190,InitialAccess,130,NTN-PRX-130,10.10.0.131,58.76.127.159,mohanlal.sachar,/var/log/auth.log,2020-01-04T21:31:49.627220+00:00 NTN-PRX-130 sshd[2376]: Failed password for invalid user oracle from 58.76.127.159 port 22392 ssh2
2020-01-05 09:12:14,100201,14,Suspicious process executed from /tmp (possible C2 beacon),syslog;cron;malware,T1071,CommandAndControl,051,NTN-DNS-051,10.10.0.52,202.115.221.44,ryan.mani,/var/log/syslog,2020-01-05T09:12:14.332338+00:00 NTN-DNS-051 CRON[6093]: (root) CMD (/tmp/.p3oqdf/kworkerd --pool 57.179.1.9:4444)
2020-01-05 12:51:06,100201,13,Suspicious process executed from /tmp (possible C2 beacon),syslog;cron;malware,T1071,CommandAndControl,376,NTN-OSS-376,10.30.0.109,25.171.94.88,darshit.shetty,/var/log/syslog,2020-01-05T12:51:06.636187+00:00 NTN-OSS-376 CRON[5532]: (www-data) CMD (/tmp/.vwe696/kworkerd --pool 145.31.1.9:4444)
2020-01-05 14:51:54,100301,6,Kernel reports possible SYN flood,syslog;kernel;attack,T1498,Impact,214,NTN-API-214,10.20.0.81,203.48.165.211,reyansh.bail,/var/log/syslog,2020-01-05T14:51:54.001158+00:00 NTN-API-214 kernel: TCP: request_sock_TCP: Possible SYN flooding on port 53. Sending cookies. Check SNMP counters. [src=203.48.165.211]
2020-01-05 19:00:51,100301,10,Kernel reports possible SYN flood,syslog;kernel;attack,T1498,Impact,123,NTN-DNS-123,10.10.0.124,115.189.188.249,yuvaan.ranganathan,/var/log/syslog,2020-01-05T19:00:51.260378+00:00 NTN-DNS-123 kernel: TCP: request_sock_TCP: Possible SYN flooding on port 2121. Sending cookies. Check SNMP counters. [src=115.189.188.249]
2020-01-05 20:41:36,5715,12,sshd: authentication success (possible compromised credential),syslog;sshd;attack,T1190,InitialAccess,331,NTN-MSC-331,10.30.0.64,99.79.43.46,nitya.tank,/var/log/auth.log,2020-01-05T20:41:36.282139+00:00 NTN-MSC-331 sshd[38104]: Accepted password for nitya.tank from 99.79.43.46 port 9613 ssh2
2020-01-06 00:56:01,5710,9,sshd: brute force trying to get access to the system,syslog;sshd;attack,T1190,InitialAccess,255,NTN-CRM-255,10.20.0.122,73.99.218.98,jiya.chowdhury,/var/log/auth.log,2020-01-06T00:56:01.918103+00:00 NTN-CRM-255 sshd[35608]: Failed password for invalid user postgres from 73.99.218.98 port 55552 ssh2
2020-01-06 01:47:56,5710,9,sshd: brute force trying to get access to the system,syslog;sshd;attack,T1190,InitialAccess,173,NTN-AAA-173,10.20.0.40,147.165.66.78,pranay.tank,/var/log/auth.log,2020-01-06T01:47:56.348122+00:00 NTN-AAA-173 sshd[17715]: Failed password for invalid user admin from 147.165.66.78 port 34289 ssh2
2020-01-06 05:05:41,5710,6,sshd: brute force trying to get access to the system,syslog;sshd;attack,T1190,InitialAccess,278,NTN-CORE-278,10.30.0.11,41.36.67.194,ivana.banerjee,/var/log/auth.log,2020-01-06T05:05:41.112386+00:00 NTN-CORE-278 sshd[21785]: Failed password for invalid user ivana.banerjee from 41.36.67.194 port 3101 ssh2
2020-01-06 06:42:36,100201,12,Suspicious process executed from /tmp (possible C2 beacon),syslog;cron;malware,T1071,CommandAndControl,245,NTN-AAA-245,10.20.0.112,120.96.177.232,neelofar.badami,/var/log/syslog,2020-01-06T06:42:36.247022+00:00 NTN-AAA-245 CRON[51486]: (neelofar.badami) CMD (/tmp/.ejrjr4/kworkerd --pool 68.194.1.9:4444)
